2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,41
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,40
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,22,39
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,23,38
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,24,37
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,25,36
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,26,35
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,27,34
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,28,33
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,29,32
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,30,31
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,39
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,22,38
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,23,37
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,24,36
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,25,35
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,26,34
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,27,33
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,28,32
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,29,31
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,21,22,37
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,21,23,36
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,21,24,35
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,21,25,34
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,21,26,33
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,21,27,32
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,21,28,31
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,21,29,30
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,22,23,35
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,22,24,34
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,22,25,33
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,22,26,32
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,22,27,31
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,22,28,30
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,23,24,33
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,23,25,32
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,23,26,31
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,23,27,30
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,23,28,29
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,24,25,31
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,24,26,30
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,24,27,29
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,25,26,29
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,25,27,28
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,38
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,22,37
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,23,36
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,24,35
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,25,34
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,26,33
